zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
51,3044085425012,3044085932815,507802,普通
52,3044085428567,3044085932820,504253,普通
53,3044085549189,3044086070013,520823,普通
54,3044085556169,3044086070018,513848,普通
55,3044085933803,3044086356420,422617,普通
56,3044085935162,3044086367613,432451,普通
57,3044086071783,3044086367957,296173,普通
58,3044086080736,3044086477145,396408,普通
59,3044086356785,3044086950528,593742,普通
60,3044086477663,3044086950532,472868,普通
61,3044086481075,3044086956016,474941,普通
62,3044086491012,3044086956021,465008,普通
63,3044086951355,3044087625615,674260,普通
64,3044086951389,3044087632030,680640,普通
65,3044087085783,3044087632064,546281,普通
66,3044087089996,3044087632069,542073,普通
67,3044087626533,3044088194342,567809,普通
68,3044087811971,3044088195775,383804,普通
69,3044087812171,3044088369965,557793,普通
70,3044087812659,3044088369970,557310,普通
71,3044088197979,3044088567499,369520,普通
72,3044088199277,3044089080274,880996,普通
73,3044088374647,3044089245515,870868,普通
74,3044088561148,3044089245520,684372,普通
75,3044088574006,3044089248809,674803,普通
76,3044089080660,3044089456297,375637,普通
77,3044089246108,3044089705403,459295,普通
78,3044089262279,3044090434853,1172574,普通
79,3044089456593,3044090435320,978727,普通
80,3044089703409,3044090435324,731915,普通
81,3044089705800,3044090435400,729600,普通
82,3044090435585,3044090961050,525465,普通
83,3044090436378,3044091363072,926693,普通
84,3044090436368,3044091363129,926761,普通
85,3044090449285,3044091370530,921245,普通
86,3044090961442,3044091376019,414576,普通
87,3044091364109,3044092067626,703516,普通
88,3044091364063,3044092067630,703566,普通
89,3044091371542,3044092067822,696279,普通
90,3044091581577,3044092067914,486336,普通
91,3044092068284,3044092444195,375910,普通
92,3044092079413,3044092808861,729448,普通
93,3044092284452,3044092808865,524413,普通
94,3044092284763,3044093127284,842521,普通
95,3044092445067,3044093130273,685205,普通
96,3044092828275,3044093776191,947916,普通
97,3044092835299,3044093783613,948313,普通
98,3044093127605,3044093821404,693798,普通
99,3044093137180,3044093821447,684267,普通
100,3044093776579,3044094421176,644597,普通

=== 执行统计 ===
第一笔交易开始时间: 3044079878693 微秒
第100笔交易完成时间: 3044094421176 微秒
前100笔交易总执行时间(包含跨链延迟): 14542483 微秒
前100笔交易总执行时间(不含跨链延迟): 14542483 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044081200191,3044081390226,190034,普通
2,3044081200172,3044081488195,288023,普通
3,3044081200307,3044081591729,391422,普通
4,3044081200388,3044081591735,391347,普通
5,3044081391627,3044081774977,383350,普通
6,3044081490207,3044081774982,284774,普通
7,3044081593990,3044081973384,379393,普通
8,3044081594854,3044081985419,390565,普通
9,3044081776148,3044082127572,351424,普通
10,3044081776485,3044082128430,351945,普通
11,3044081973848,3044082472156,498308,普通
12,3044081985835,3044082472161,486325,普通
13,3044082127899,3044082472372,344472,普通
14,3044082220580,3044082656823,436243,普通
15,3044082473195,3044082881066,407871,普通
16,3044082479571,3044083173928,694357,普通
17,3044082479535,3044083173936,694401,普通
18,3044082657220,3044083173942,516721,普通
19,3044082881649,3044083173946,292296,普通
20,3044083174357,3044083675663,501306,普通
21,3044083178253,3044083676286,498033,普通
22,3044083295361,3044083677100,381739,普通
23,3044083295604,3044083684025,388421,普通
24,3044083676705,3044083940740,264035,普通
25,3044083677934,3044084262197,584263,普通
26,3044083678844,3044084384544,705699,普通
27,3044083694009,3044084384549,690539,普通
28,3044083941191,3044084392021,450830,普通
29,3044084262624,3044084392031,129407,普通
30,3044084385026,3044084857489,472463,普通
31,3044084476116,3044084857492,381375,普通
32,3044084476417,3044084857525,381107,普通
33,3044084476431,3044084978514,502083,普通
34,3044084858063,3044085383254,525190,普通
35,3044084864797,3044085384117,519319,普通
36,3044084864997,3044085384138,519141,普通
37,3044084978937,3044085506762,527824,普通
38,3044085383637,3044085772064,388427,普通
39,3044085384758,3044085917522,532764,普通
40,3044085390861,3044085917582,526720,普通
41,3044085508463,3044085917585,409122,普通
42,3044085772545,3044086157050,384504,普通
43,3044085918490,3044086434678,516187,普通
44,3044085922846,3044086437011,514165,普通
45,3044086008265,3044086437015,428749,普通
46,3044086161822,3044086736736,574914,普通
47,3044086437478,3044086736748,299269,普通
48,3044086439719,3044086736773,297053,普通
49,3044086439962,3044087084666,644703,普通
50,3044086919117,3044087460128,541010,普通
51,3044086919277,3044087460860,541582,普通
52,3044087080654,3044087791235,710581,普通
53,3044087085037,3044087796027,710989,普通
54,3044087460469,3044087796071,335602,普通
55,3044087612362,3044088129965,517602,普通
56,3044087791589,3044088432846,641256,普通
57,3044087927364,3044088432850,505486,普通
58,3044087934725,3044088452025,517299,普通
59,3044088130349,3044088456014,325664,普通
60,3044088623895,3044089172915,549020,普通
61,3044088628421,3044089172921,544499,普通
62,3044088646984,3044089172987,526003,普通
63,3044088818477,3044089176458,357980,普通
64,3044089177128,3044089721753,544625,普通
65,3044089268699,3044089952744,684044,普通
66,3044089268804,3044089961505,692700,普通
67,3044089269203,3044090208848,939645,普通
68,3044089951389,3044090656517,705128,普通
69,3044089953058,3044090656521,703463,普通
70,3044090216038,3044090810189,594151,普通
71,3044090227137,3044091160371,933233,普通
72,3044090659297,3044091165062,505764,普通
73,3044090665069,3044091166626,501556,普通
74,3044090810576,3044091615696,805119,普通
75,3044091160921,3044092045722,884800,普通
76,3044091337502,3044092045726,708223,普通
77,3044091351514,3044092185592,834078,普通
78,3044091616065,3044092190297,574231,普通
79,3044092046573,3044092776741,730167,普通
80,3044092046664,3044092842490,795825,普通
81,3044092195965,3044092864066,668100,普通
82,3044092385724,3044092868015,482291,普通
83,3044092777604,3044093544252,766647,普通
84,3044093059979,3044093782069,722090,普通
85,3044093059883,3044093802120,742236,普通
86,3044093070473,3044093802173,731700,普通
