zipf_= 0.8 ctx = 0.0----------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
101,3033963690400,3033963701864,11463,普通,1,2713839,0
98,3033963595713,3033963704234,108520,普通,1,2716210,0
289,3033971018082,3033971018082,0,普通,2,10030058,1
291,3033971019026,3033971019026,0,普通,2,10031002,1

=== 执行统计 ===
第一笔交易开始时间: 3033960988024 微秒
最后一笔交易完成时间: 3033963704234 微秒
前100笔交易总执行时间(包含跨链延迟): 2716210 微秒
前100笔交易总执行时间(不含跨链延迟): 2716210 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
2,3033994903091,3033994912142,9050,普通,1,9050,0
5,3033994912521,3033994918375,5853,普通,1,15283,0
6,3033994918617,3033994925775,7157,普通,1,22684,0
3,3033994903382,3033994983151,79769,普通,1,80060,0
4,3033994903386,3033994984426,81040,普通,1,81335,0
8,3033994983617,3033994991797,8180,普通,1,88706,0
1,3033994903092,3033994991812,88720,普通,1,88720,0
9,3033994984687,3033994998276,13588,普通,1,95184,0
10,3033994992060,3033995001683,9623,普通,1,98591,0
7,3033994983370,3033995073408,90038,普通,1,170317,0
11,3033994992085,3033995083803,91717,普通,1,180712,0
12,3033994998831,3033995088200,89368,普通,1,185108,0
14,3033995073762,3033995089135,15373,普通,1,186044,0
13,3033995001974,3033995090599,88625,普通,1,187508,0
18,3033995090919,3033995169451,78531,普通,1,266359,0
15,3033995084054,3033995170923,86869,普通,1,267831,0
20,3033995171363,3033995299808,128445,普通,1,396717,0
16,3033995088588,3033995300571,211983,普通,1,397480,0
19,3033995170316,3033995308174,137858,普通,1,405082,0
21,3033995300143,3033995308768,8624,普通,1,405676,0
17,3033995175561,3033995313898,138336,普通,1,410806,0
23,3033995308405,3033995317306,8901,普通,1,414214,0
24,3033995309022,3033995383999,74977,普通,1,480907,0
22,3033995300865,3033995389133,88268,普通,1,486042,0
26,3033995317566,3033995394767,77201,普通,1,491676,0
27,3033995384301,3033995503873,119572,普通,1,600782,0
25,3033995396090,3033995507411,111320,普通,1,604319,0
28,3033995389499,3033995507666,118166,普通,1,604574,0
29,3033995395072,3033995509033,113961,普通,1,605941,0
33,3033995509298,3033995580510,71211,普通,1,677418,0
30,3033995504134,3033995583515,79380,普通,1,680423,0
32,3033995507974,3033995584730,76756,普通,1,681639,0
31,3033995507668,3033995586579,78911,普通,1,683488,0
34,3033995580854,3033995594873,14019,普通,1,691782,0
35,3033995583783,3033995679570,95786,普通,1,776479,0
37,3033995586881,3033995679819,92938,普通,1,776728,0
38,3033995595098,3033995688911,93813,普通,1,785820,0
40,3033995680082,3033995780715,100633,普通,1,877623,0
36,3033995682510,3033995788045,105535,普通,1,884954,0
39,3033995679919,3033995788779,108860,普通,1,885688,0
41,3033995689235,3033995789765,100529,普通,1,886673,0
43,3033995788293,3033995796419,8126,普通,1,893328,0
42,3033995781050,3033995876255,95205,普通,1,973164,0
45,3033995790048,3033995880354,90305,普通,1,977262,0
44,3033995789090,3033995882531,93441,普通,1,979439,0
48,3033995880603,3033995888903,8300,普通,1,985812,0
47,3033995876721,3033995974330,97609,普通,1,1071239,0
46,3033995796741,3033995975570,178828,普通,1,1072479,0
50,3033995889197,3033995981795,92598,普通,1,1078704,0
53,3033995982080,3033995990911,8830,普通,1,1087819,0
51,3033995974638,3033996080256,105617,普通,1,1177164,0
49,3033995980030,3033996082389,102359,普通,1,1179298,0
52,3033995975964,3033996083198,107233,普通,1,1180106,0
54,3033995991153,3033996083370,92216,普通,1,1180278,0
58,3033996091294,3033996194736,103442,普通,1,1291644,0
56,3033996082756,3033996195882,113126,普通,1,1292791,0
55,3033996080527,3033996197827,117300,普通,1,1294736,0
57,3033996083495,3033996205404,121909,普通,1,1302313,0
59,3033996195005,3033996205438,10432,普通,1,1302346,0
62,3033996205714,3033996302597,96883,普通,1,1399506,0
61,3033996198092,3033996304833,106740,普通,1,1401741,0
60,3033996196197,3033996309039,112841,普通,1,1405947,0
63,3033996205720,3033996383439,177719,普通,1,1480347,0
64,3033996382181,3033996392672,10491,普通,1,1489581,0
66,3033996309269,3033996395083,85813,普通,1,1491991,0
65,3033996305565,3033996399569,94004,普通,1,1496477,0
67,3033996383795,3033996489353,105558,普通,1,1586261,0
68,3033996489224,3033996508186,18962,普通,1,1605095,0
71,3033996489619,3033996508490,18870,普通,1,1605398,0
69,3033996395395,3033996578452,183056,普通,1,1675360,0
70,3033996486361,3033996582659,96297,普通,1,1679568,0
72,3033996581855,3033996591536,9680,普通,1,1688444,0
74,3033996578818,3033996698573,119755,普通,1,1795482,0
75,3033996583144,3033996698605,115461,普通,1,1795514,0
78,3033996698930,3033996787095,88164,普通,1,1884003,0
76,3033996704952,3033996789999,85046,普通,1,1886907,0
73,3033996692855,3033996792032,99177,普通,1,1888940,0
