zipf = 0.8 ctx = 0.0-----------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
31,2985117461280,2985117549527,88246,普通
32,2985117469057,2985117549531,80474,普通
33,2985117546087,2985117557247,11160,普通
34,2985117550001,2985117654998,104996,普通
35,2985117549928,2985117655003,105075,普通
36,2985117550178,2985117659723,109545,普通
37,2985117557414,2985117659727,102312,普通
38,2985117655368,2985117665399,10030,普通
39,2985117655678,2985117760278,104599,普通
40,2985117660136,2985117763546,103409,普通
41,2985117660456,2985117763552,103095,普通
42,2985117749054,2985117763555,14501,普通
43,2985117761096,2985117868783,107686,普通
44,2985117763867,2985117868787,104920,普通
45,2985117764174,2985117869110,104936,普通
46,2985117764261,2985117872629,108368,普通
47,2985117869271,2985118011396,142125,普通
48,2985117869364,2985118011401,142037,普通
49,2985117869530,2985118011405,141875,普通
50,2985117873142,2985118011409,138267,普通
51,2985118011947,2985118080570,68623,普通
52,2985118011967,2985118080573,68606,普通
53,2985118012102,2985118093439,81337,普通
54,2985118012225,2985118093445,81219,普通
55,2985118080966,2985118094358,13392,普通
56,2985118080987,2985118190340,109353,普通
57,2985118093764,2985118279906,186142,普通
58,2985118094652,2985118279911,185259,普通
59,2985118095141,2985118285088,189947,普通
60,2985118190511,2985118285092,94581,普通
61,2985118280898,2985118297852,16954,普通
62,2985118281037,2985118297856,16818,普通
63,2985118285956,2985118373793,87837,普通
64,2985118286123,2985118373798,87675,普通
65,2985118298478,2985118373802,75323,普通
66,2985118299103,2985118386817,87713,普通
67,2985118374201,2985118468682,94481,普通
68,2985118374283,2985118468687,94404,普通
69,2985118374397,2985118471933,97536,普通
70,2985118387272,2985118480498,93226,普通
71,2985118469576,2985118577096,107519,普通
72,2985118469403,2985118580221,110817,普通
73,2985118473623,2985118580225,106602,普通
74,2985118481764,2985118590732,108967,普通
75,2985118578022,2985118591744,13721,普通
76,2985118580728,2985118646075,65346,普通
77,2985118581137,2985118653528,72390,普通
78,2985118591420,2985118653533,62112,普通
79,2985118592365,2985118653536,61171,普通
80,2985118646848,2985118732931,86083,普通
81,2985118653991,2985118744390,90399,普通
82,2985118654437,2985118744396,89958,普通
83,2985118654535,2985118744399,89864,普通
84,2985118733977,2985118838200,104223,普通
85,2985118744647,2985118838204,93556,普通
86,2985118744996,2985118843806,98809,普通
87,2985118745175,2985118850055,104880,普通
88,2985118838869,2985118924974,86105,普通
89,2985118838880,2985118924979,86099,普通
90,2985118844189,2985118939721,95532,普通
91,2985118923860,2985119045165,121305,普通
92,2985118925684,2985119045170,119486,普通
93,2985118925664,2985119045175,119511,普通
94,2985118939977,2985119055177,115199,普通
95,2985119045897,2985119060036,14139,普通
96,2985119045698,2985119060040,14342,普通
97,2985119045901,2985119127589,81688,普通
98,2985119055623,2985119138522,82899,普通
99,2985119060395,2985119138594,78199,普通
100,2985119061617,2985119141778,80161,普通

=== 执行统计 ===
第一笔交易开始时间: 2985116856518 微秒
第100笔交易完成时间: 2985119141778 微秒
前100笔交易总执行时间(包含跨链延迟): 2285260 微秒
前100笔交易总执行时间(不含跨链延迟): 2285260 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985120820850,2985120837080,16230,普通
2,2985120821084,2985120842109,21025,普通
3,2985120820902,2985120845552,24649,普通
4,2985120821273,2985120845557,24284,普通
5,2985120838093,2985120956547,118454,普通
6,2985120842946,2985120956562,113615,普通
7,2985120846575,2985120956569,109993,普通
8,2985120846622,2985120956617,109995,普通
9,2985120957051,2985121033948,76897,普通
