交易ID,开始时间,完成时间,延迟(微秒)
151,614610313726,614610440650,126923,普通
152,614610313859,614610444231,130372,普通
153,614610313841,614610444274,130432,普通
154,614610313926,614610448868,134941,普通
155,614610440873,614610451633,10760,普通
156,614610444713,614610511339,66626,普通
157,614610445092,614610511376,66284,普通
158,614610449533,614610518108,68575,普通
159,614610452009,614610518182,66172,普通
160,614610511898,614610610931,99033,普通
161,614610512167,614610611028,98860,普通
162,614610518532,614610611054,92521,普通
163,614610519026,614610620327,101301,普通
164,614610611354,614610680601,69246,普通
165,614610611505,614610680632,69126,普通
166,614610611648,614610680653,69004,普通
167,614610672192,614610680669,8477,普通
168,614610681002,614610737299,56296,普通
169,614610681077,614610737330,56253,普通
170,614610681038,614610747047,66009,普通
171,614610681294,614610747080,65786,普通
172,614610737785,614610747104,9318,普通
173,614610737749,614610747118,9368,普通
174,614610747426,614610919475,172049,普通
175,614610747449,614610919505,172055,普通
176,614610747564,614610919525,171961,普通
177,614610747520,614610919539,172019,普通
178,614610919973,614610972151,52178,普通
179,614610919957,614610974039,54082,普通
180,614610920024,614610974067,54043,普通
181,614610919985,614610974085,54100,普通
182,614610973347,614610987636,14289,普通
183,614610975186,614611051675,76489,普通
184,614610975533,614611053183,77650,普通
185,614610975900,614611057441,81540,普通
186,614611051000,614611064314,13313,普通
187,614611052326,614611112834,60508,普通
188,614611053625,614611113075,59450,普通
189,614611057755,614611117540,59784,普通
190,614611065792,614611128108,62316,普通
191,614611113758,614611204701,90943,普通
192,614611113711,614611204733,91021,普通
193,614611119061,614611204753,85692,普通
194,614611128499,614611215671,87171,普通
195,614611205171,614611216268,11096,普通
196,614611205403,614611217585,12181,普通
197,614611205496,614611257116,51620,普通
198,614611216096,614611258935,42838,普通
199,614611216798,614611268186,51387,普通
200,614611218106,614611358264,140157,普通
201,614611257381,614611361653,104271,普通
202,614611259238,614611361682,102444,普通
203,614611343322,614611361702,18379,普通
204,614611358783,614611454002,95218,普通
205,614611362267,614611457185,94917,普通
206,614611362455,614611536998,174543,普通
207,614611362483,614611537031,174548,普通
208,614611454535,614611541667,87131,普通
209,614611531401,614611589502,58100,普通
210,614611537453,614611589537,52084,普通
211,614611537553,614611589556,52002,普通
212,614611541942,614611591314,49371,普通
213,614611590107,614611709586,119479,普通
214,614611589956,614611709628,119671,普通
215,614611590070,614611709651,119580,普通
216,614611592853,614611709669,116815,普通
217,614611710000,614611782618,72618,普通
218,614611709981,614611782653,72671,普通
219,614611710158,614611787804,77646,普通
220,614611710090,614611788219,78129,普通
221,614611783623,614611882481,98858,普通
222,614611783653,614611885517,101863,普通
223,614611788670,614611893974,105304,普通
224,614611788877,614611894011,105134,普通
225,614611883921,614611896095,12174,普通
226,614611886162,614611896217,10055,普通
227,614611894521,614611989182,94661,普通
228,614611894587,614611989221,94634,普通
229,614611973586,614611992032,18446,普通
230,614611973528,614611992064,18536,普通
231,614611989633,614612048442,58809,普通
232,614611989818,614612051267,61448,普通
233,614611992488,614612051297,58809,普通
234,614611992504,614612051319,58815,普通
235,614612048717,614612198972,150254,普通
236,614612124906,614612199028,74121,普通
237,614612125097,614612201417,76320,普通
238,614612125201,614612201447,76246,普通
239,614612199791,614612290229,90437,普通
240,614612199625,614612290264,90639,普通
241,614612201841,614612290287,88446,普通
