0.8,0.0,13418101
0.8,0.0,14645489
0.8,0.0,16048027
0.8,0.0,17539346
0.8,0.0,17679557
0.8,0.0,18065120
0.8,0.0,18969120
0.8,0.0,19564281
0.8,0.0,19395155
0.8,0.0,19541627
0.8,0.04,12342771
0.8,0.04,15391531
0.8,0.04,17117998
0.8,0.04,17624270
0.8,0.04,20292521
0.8,0.04,19964523
0.8,0.04,20224361
0.8,0.04,21099522
0.8,0.04,21365662
0.8,0.04,21581760
0.8,0.08,18698323
0.8,0.08,21134035
0.8,0.08,19969759
0.8,0.08,21566176
0.8,0.08,19960718
0.8,0.08,17701900
0.8,0.08,22238248
0.8,0.08,18971959
0.8,0.08,22698337
0.8,0.08,21161884
0.8,0.12,27413928
0.8,0.12,21234773
0.8,0.12,16886491
0.8,0.12,18087404
0.8,0.12,22298550
0.8,0.12,21734280
0.8,0.12,23074187
0.8,0.12,22809273
0.8,0.12,22452993
0.8,0.12,20954666
0.8,0.16,26256837
0.8,0.16,23261850
0.8,0.16,20905176
0.8,0.16,25455019
0.8,0.16,24091401
0.8,0.16,24409352
0.8,0.16,22415513
0.8,0.16,19704900
0.8,0.16,22386197
0.8,0.16,26433513
0.8,0.2,21913428
0.8,0.2,23961085
0.8,0.2,19774415
0.8,0.2,23017588
0.8,0.2,32926859
0.8,0.2,27877024
0.8,0.2,24758041
0.8,0.2,27043172
0.8,0.2,27921833
0.8,0.2,24657001
1.0,0.0,10154843
1.0,0.0,14533079
1.0,0.0,16318157
1.0,0.0,17546136
1.0,0.0,17456606
1.0,0.0,18707705
1.0,0.0,19712902
1.0,0.0,19680963
1.0,0.0,19691210
1.0,0.0,19253184
1.0,0.0,21023364
1.2,0.04,15669075
1.2,0.04,19797274
1.2,0.04,21875524
1.2,0.04,22626876
1.2,0.04,21675449
1.2,0.04,19822626
1.2,0.04,20234289
1.2,0.04,22083246
1.2,0.04,22420728
1.2,0.04,18480516
1.0,0.08,19991567
1.0,0.08,18585054
1.0,0.08,17876889
1.0,0.08,18233508
1.0,0.08,20396874
1.0,0.08,20531829
1.0,0.08,22353989
1.0,0.08,25120697
1.0,0.08,20150290
1.0,0.08,20648626
1.0,0.12,16745844
1.0,0.12,26065347
1.0,0.12,22820625
1.0,0.12,23897992
1.0,0.12,23169135
1.0,0.12,25567588
1.0,0.12,27044912
1.0,0.12,25224950
1.0,0.12,22991004
1.0,0.12,23686081
1.0,0.16,20557125
1.0,0.16,26618566
1.0,0.16,20165298
1.0,0.16,19756906
1.0,0.16,18490592
1.0,0.16,25370084
1.0,0.16,24894288
1.0,0.16,30232012
1.0,0.16,30771259
1.0,0.16,32797814
1.0,0.2,28966999
1.0,0.2,24691504
1.0,0.2,30145173
1.0,0.2,31874105
1.0,0.2,25449080
1.0,0.2,23362504
1.0,0.2,31166386
1.0,0.2,25329795
1.0,0.2,29055994
1.0,0.2,28521790
1.2,0.0,15445887
1.2,0.0,17354558
1.2,0.0,17961814
1.2,0.0,19330520
1.2,0.0,19754435
1.2,0.0,22000313
1.2,0.0,23260019
1.2,0.0,22143180
1.2,0.0,21149783
1.2,0.0,22722499
1.2,0.04,19212120
1.2,0.04,20908581
1.2,0.04,20726853
1.2,0.04,20115728
1.2,0.04,20708912
1.2,0.04,22685242
1.2,0.04,23887499
1.2,0.04,21932542
1.2,0.04,23774042
1.2,0.04,20970004
1.2,0.08,19740636
1.2,0.08,18629753
1.2,0.08,20827425
1.2,0.08,25906383
1.2,0.08,23030114
1.2,0.08,20880466
1.2,0.08,25965532
1.2,0.08,27302901
1.2,0.08,20607416
1.2,0.08,25413474
1.2,0.12,29022785
1.2,0.12,25573234
1.2,0.12,20752009
1.2,0.12,27408137
1.2,0.12,25458417
1.2,0.12,22682737
1.2,0.12,31959083
1.2,0.12,22844119
1.2,0.12,31088334
1.2,0.12,26602204
1.2,0.16,29459565
1.2,0.16,20896783
1.2,0.16,28196449
1.2,0.16,27247838
1.2,0.16,31866588
1.2,0.16,29536043
1.2,0.16,30434239
1.2,0.16,27596003
1.2,0.16,30689109
1.2,0.16,28830834
1.2,0.2,33520236
1.2,0.2,34493976
1.2,0.2,29156581
1.2,0.2,32785130
1.2,0.2,36146958
1.2,0.2,35367610
1.2,0.2,37178095
1.2,0.2,35789055
1.2,0.2,35343229
1.2,0.2,27873795
1.2,0.2,34149668
1.2,0.2,28523657
1.2,0.2,33425759
1.2,0.2,33440930
1.2,0.2,33301511
1.2,0.2,30227184
1.2,0.2,36176915
1.2,0.2,30706885
