4线程  smallbank 跨链交易比例0%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3069     2977      3.02%                      90s
myself②                    3207     3125      2.59%                      90s
myself③                    3381     3290      2.70%                      90s
spectrum_cross_chain①      4202     4069      3.17%                      70s
spectrum_cross_chain②      4307     4165      3.30%                      70s
spectrum_cross_chain③      3833     3725      1.06%                      70s
2PL ①                      1126     908       19.36%    2845             60s
2PL ②                      930     751      19.25%    2902        
2PL ③                      1066     794      25.52%    2854                

4线程  smallbank 跨链交易比例5%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    2773     2700      2.70%                      90s
myself②                    2952     2872      2.75%                      90s
myself③                    3275     3183      2.79%                      90s
spectrum_cross_chain①      4088     627  651       84.66%                    70s
spectrum_cross_chain②      4137     787  816     81.00%                    70s
spectrum_cross_chain③      3169     656  688    79.30%                     70s
2PL ①                      1504     1078      28.32%    2933             60s
2PL ②                      1490     1055      29.19%    2958         
2PL ③                      1362     1013      25.62%    2903       

4线程  smallbank 跨链交易比例10%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    2804     2713      3.35%                      90s
myself②                    3051     2960      2.97%                      90s
myself③                    3370     3266      3.09%                      90s
spectrum_cross_chain①      4500     456   469       86.97%                    70s
spectrum_cross_chain②      3700     368   385       90.05%                     70s
spectrum_cross_chain③      3941     404   417       89.75%                    70s
2PL ①                      1187     727       38.75%    4101             60s
2PL ②                      1299     758       41.65%    2847         
2PL ③                      1484     845      43.06%    2903       


4线程  smallbank 跨链交易比例15%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3066     2986      2.61%                      90s
myself②                    3223     3128      2.94%                      90s
myself③                    3204     3102      3.19%                      90s
spectrum_cross_chain①      2896     357   369   87.67%                     70s
spectrum_cross_chain②      2809     241   254    91.42%                     70s
spectrum_cross_chain③      2963     267   272    90.99%                     70s
2PL ①                      1312     768       41.46%    4667             60s
2PL ②                      1346     787       41.53%    4792         
2PL ③                      844     1412       40.23%    3209       

4线程  smallbank 跨链交易比例20%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3146     3066      2.54%                      90s
myself②                    3263     3169      2.93%                      90s
myself③                    3145     3062      2.68%                      90s
spectrum_cross_chain①      2896     263  279       90.92%                    70s
spectrum_cross_chain②      2809     183  192       93.49%                     70s
spectrum_cross_chain③      2963     233  240     92.14%                     70s
2PL ①                      1368     858       37.28%    3616             60s
2PL ②                      1443     699       51.56%    5407         
2PL ③                      1335     726       45.62%    4856       

4线程  smallbank 跨链交易比例25%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3298     3206      2.81%                      90s
myself②                    3529     3424      3.01%                      90s
myself③                    3847     3744      2.70%                      90s
spectrum_cross_chain①      2896     181   189    93.75%                        70s
spectrum_cross_chain②      2809     179   189    93.63%                        70s
spectrum_cross_chain③      2963     171   178    94.23%                        70s
2PL ①                      1235     600       51.42%    4702             60s
2PL ②                      1319     591       55.19%    5125         
2PL ③                      1442     647       55.13%    5604      
